site,date,Factor.1,Factor.2,Factor.3,Factor.4,Factor.5,Factor.6,Factor.7
MIC,03/16/20 09:37,NA,NA,NA,NA,NA,NA,NA
MIC,03/19/20 05:21,2.4835,1.2755,0.045044,-0.2,0.34553,2.6195,1.0519
MIC,03/24/20 11:35,0.79792,0.50942,0.48682,0.42912,0.024608,0.2839,0.96804
MIC,03/26/20 11:30,0.82086,0.96355,-0.083949,0.0036212,-0.070431,0.17052,1.2031
MIC,03/28/20 10:26,0.24131,0.67922,0.49363,1.2491,-0.19398,0.56663,0.5678
MIC,03/30/20 09:42,0.90699,1.1709,0.26728,1.2762,0.12798,1.7297,0.55252
MIC,04/06/2020 11:27,0.70745,1.5488,-0.004831,1.1682,0.022751,0.73238,1.2416
MIC,04/07/2020 11:29,NA,NA,NA,NA,NA,NA,NA
MIC,04/11/2020 07:42,1.1232,0.91308,1.3767,0.29699,-0.036658,-0.2,1.1681
MIC,04/14/20 14:21,1.2398,0.27089,1.3026,0.99294,-0.0024755,0.48269,0.61863
MIC,04/19/20 12:00,0.69359,0.46677,0.62618,1.0168,0.051426,0.044174,0.65631
MIC,04/20/20 12:42,1.7885,0.68215,0.12501,1.1013,0.054018,0.30817,1.2215
MIC,04/27/20 09:09,0.5742,0.62491,0.35442,0.29313,0.7353,1.5311,0.7175
MIC,04/29/20 10:45,1.4951,1.0111,1.2789,-0.068849,0.90743,1.74,0.86224
MIC,05/03/2020 09:10,0.93197,0.42159,1.4953,1.1604,0.43682,0.13337,0.17554
MIC,05/06/2020 06:40,NA,NA,NA,NA,NA,NA,NA
MIC,05/14/20 07:21,0.67076,0.50379,2.1073,0.14017,0.57438,0.49194,0.55019
MIC,05/15/20 09:50,1.2814,0.78439,0.2236,-0.012476,0.2498,0.69238,0.98449
MIC,05/17/20 12:38,1.2949,-0.086083,1.8787,-0.068911,0.33736,1.4709,1.7851
MIC,05/20/20 08:46,0.82044,1.1667,0.34288,0.40286,1.8382,0.72601,0.69084
MIC,05/26/20 13:42,3.8617,0.55679,0.85077,0.82031,-0.2,0.13562,1.5898
MIC,05/28/20 08:24,2.8395,1.7665,0.72692,0.10708,2.0581,-0.08563,2.4891
MIC,05/31/20 07:22,NA,NA,NA,NA,NA,NA,NA
MIC,06/04/2020 11:51,0.28329,0.29266,-0.07457,0.074005,0.19459,0.26537,1.3933
MIC,06/07/2020 13:00,1.1932,0.29564,0.96893,1.0111,4.1366,-0.15856,2.3146
MIC,06/09/2020 05:23,-0.068808,0.45981,-0.056283,0.078273,0.68534,0.044032,1.6601
MIC,06/15/20 05:22,0.41645,0.5609,-0.2,0.017133,0.13713,2.0247,1.2213
MIC,06/19/20 04:43,1.8219,0.049257,0.77235,0.52257,1.8079,0.15834,1.6499
MIC,06/20/20 07:43,NA,NA,NA,NA,NA,NA,NA
MIC,06/22/20 10:21,1.6667,1.0329,0.15407,-0.13436,0.25692,4.0208,1.5333
MIC,07/01/2020 05:27,1.8897,0.14861,0.85829,0.2171,0.17073,0.33798,1.2674
MIC,07/02/2020 05:35,2.2525,-0.088073,0.94337,0.78196,0.98858,-0.14611,2.7633
MIC,07/10/2020 05:27,0.80655,0.45054,0.66766,0.018225,0.83951,0.22149,1.1939
MIC,07/11/2020 12:30,0.31512,2.4071,1.1593,0.6053,0.35722,0.71402,1.9181
MIC,07/15/20 08:39,1.3054,1.3461,0.43731,0.11645,0.099275,1.9941,0.70477
MIC,07/23/20 05:31,NA,NA,NA,NA,NA,NA,NA
MIC,07/31/20 11:24,0.40362,0.38803,2.0979,1.1579,0.72787,0.018533,1.7455
MIC,08/06/2020 14:38,0.1424,0.77991,0.15351,0.4929,0.32283,1.7494,1.2457
MIC,08/07/2020 14:43,-0.2,0.69972,1.1339,1.1674,1.1503,3.3322,2.1951
MIC,08/11/2020 14:06,0.023784,2.136,0.55812,0.18851,-0.072919,2.6009,0.64674
MIC,08/13/20 14:26,0.2052,0.22059,-0.16451,-0.010091,0.12687,1.2521,0.61482
MIC,08/17/20 05:30,-0.14856,0.63601,-0.031689,0.0020065,0.75702,2.1256,1.5673
MIC,08/25/20 08:36,0.58957,0.35408,0.94693,1.4872,1.5752,-0.2,0.88019
MIC,08/26/20 14:44,NA,NA,NA,NA,NA,NA,NA
MIC,08/30/20 11:32,-0.097637,0.94182,0.10955,0.027845,0.17847,1.0198,0.61078
MIC,09/03/2020 06:52,2.0232,3.1557,2.0646,1.9647,1.4024,0.5439,0.55649
MIC,09/05/2020 06:57,1.2756,0.48013,0.76574,0.32193,0.31006,1.0451,0.47475
MIC,09/06/2020 13:23,0.20394,0.24506,0.69986,0.99004,-0.040493,1.1512,0.19049
MIC,09/12/2020 07:36,2.6934,2.4212,3.088,-0.094928,-0.042806,3.7447,1.2667
MIC,09/22/20 05:26,1.3066,1.1114,1.2628,0.34259,0.054589,-0.042187,0.74837
MIC,09/24/20 14:42,1.1438,0.69146,1.2035,1.4496,2.568,0.55136,0.89716
MIC,09/29/20 10:38,0.60929,1.6841,1.2017,0.72196,1.729,0.15593,0.88452
MIC,10/01/2020 13:10,NA,NA,NA,NA,NA,NA,NA
MIC,10/04/2020 09:34,6.096e-4,0.14416,0.83318,0.50233,0.65161,0.077892,0.16495
MIC,10/06/2020 12:45,NA,NA,NA,NA,NA,NA,NA
NID,09/01/2018 12:46,6.195,2.1679,0.56644,-0.2,0.32594,0.54949,1.028
NID,09/07/2018 06:33,0.65771,1.4206,1.6762,-0.17919,0.53266,1.0086,0.90993
NID,09/10/2018 07:17,0.45494,2.1787,1.5239,0.28252,1.5285,0.64459,1.399
NID,09/14/18 06:40,3.7216,-0.2,3.1722,1.3651,1.0208,5.2076,2.1445
NID,09/19/18 07:00,NA,NA,NA,NA,NA,NA,NA
NID,09/20/18 07:10,-0.035498,2.1789,3.0822,1.0826,1.5343,0.41761,1.7351
NID,09/22/18 07:46,NA,NA,NA,NA,NA,NA,NA
NID,09/23/18 06:59,-0.027934,1.3117,1.427,0.43346,1.0677,0.52582,0.47669
NID,09/30/18 07:57,2.6349,1.5381,1.0815,0.11294,1.0449,0.1734,0.17202
NID,10/02/2018 07:05,NA,NA,NA,NA,NA,NA,NA
NID,10/08/2018 07:23,-0.10174,1.3149,0.25068,0.83912,1.4183,0.080398,0.52475
NID,10/09/2018 07:27,NA,NA,NA,NA,NA,NA,NA
NID,10/17/18 07:03,0.047503,0.95026,1.0392,1.6227,2.3258,0.048284,0.67877
NID,10/19/18 12:28,0.95393,0.086508,1.5556,0.53352,0.37901,0.88109,0.20525
NID,10/23/18 07:32,0.19307,0.012421,0.36102,0.34692,0.078836,0.10364,0.2569
NID,10/31/18 06:46,0.1061,1.2443,3.2118,1.2955,-0.2,0.67038,0.11616
NID,11/01/2018 07:30,NA,NA,NA,NA,NA,NA,NA
NID,11/06/2018 06:45,NA,NA,NA,NA,NA,NA,NA
NID,11/08/2018 05:04,1.7697,-0.01924,0.39008,0.81492,0.72151,0.91054,0.37819
NID,11/14/18 06:58,0.026183,1.0453,0.98639,2.6415,1.7228,1.5846,1.956
NID,11/16/18 06:26,0.089282,1.4217,0.95805,-0.098405,0.26831,0.18618,1.2822
NID,11/21/18 06:36,NA,NA,NA,NA,NA,NA,NA
NID,11/24/18 07:02,0.20152,0.4049,0.28439,-0.2,0.14092,0.46324,1.5917
NID,11/26/18 07:00,3.3179,-0.086843,1.6334,1.5327,1.402,1.7711,0.53226
NID,12/03/2018 06:50,1.3337,1.2007,2.9547,0.15049,1.6997,1.5448,-0.2
NID,12/04/2018 07:10,NA,NA,NA,NA,NA,NA,NA
NID,12/10/2018 08:12,0.038532,1.275,4.8588,0.7162,0.72222,0.67314,1.6472
NID,12/12/2018 06:50,NA,NA,NA,NA,NA,NA,NA
NID,12/18/18 12:28,NA,NA,NA,NA,NA,NA,NA
NID,12/26/18 05:43,-0.004458,1.3051,0.77274,0.0014357,0.11507,0.13321,0.22049
NID,12/28/18 06:05,NA,NA,NA,NA,NA,NA,NA
NID,01/01/2019 06:15,NA,NA,NA,NA,NA,NA,NA
NID,01/10/2019 14:21,1.5514,0.062397,0.65285,2.0934,1.4425,0.022201,1.4639
NID,01/21/19 07:26,NA,NA,NA,NA,NA,NA,NA
NID,01/25/19 06:05,0.49242,0.27351,0.87163,1.2924,0.5389,0.19947,0.42781
NID,01/26/19 06:15,0.10812,0.68664,0.67633,0.31581,1.3992,0.4372,0.35156
NID,02/15/19 08:29,0.99437,0.56257,0.0065121,0.64486,1.7471,1.3056,0.19127
NID,02/17/19 07:35,NA,NA,NA,NA,NA,NA,NA
NID,02/19/19 07:50,0.3839,0.55196,0.27358,1.0137,0.72183,0.18748,0.50518
NID,02/23/19 06:47,0.62052,-0.11292,0.56397,1.072,0.025028,0.25069,1.7998
NID,02/27/19 04:31,1.4111,0.13517,-0.15874,1.3248,-0.2,-0.031159,0.1751
