site,date,factor,BC,Al,Si,Pb,Fe,Ti,Mn,Pt,Br,Zn,cloreto,nitrato,sulfato,sodio,amonio,potassio,magnesio,calcio
MIC,2019-05-11T07:25:00Z,Factor.1,0.0141429486,0.0041569938300000005,0.00761240832,2.14987509e-4,0.00597645609,4.09491555e-4,3.57281826e-4,0.00289114188,NA,4.56725544e-7,6.82304271e-4,0,0,0,8.51396502e-4,0.00131691252,3.15675162e-5,0.0018788157300000004
MIC,2019-05-14T12:27:00Z,Factor.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MIC,2019-05-19T10:32:00Z,Factor.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MIC,2019-05-22T12:15:00Z,Factor.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MIC,2019-05-28T12:35:00Z,Factor.1,0.127091948,0.0373557494,0.0684069376,0.00193192962,0.053705876199999995,0.0036797899,0.00321062068,0.0259804984,NA,4.10424592e-6,0.00613135078,0,0,0,0.00765085436,0.0118340936,2.83673316e-4,0.016883491400000002
MIC,2019-05-30T12:06:00Z,Factor.1,0.0595443564,0.01750169142,0.032049607679999995,9.05136066e-4,0.02516195466,0.00172403307,0.001504220724,0.012172227119999999,NA,1.922896656e-6,0.002872623654,0,0,0,0.003584532348,0.0055444384799999994,1.329049188e-4,0.00791015202
MIC,2019-06-02T13:06:00Z,Factor.1,0.053344953,0.01567951965,0.028712793599999998,8.10898695e-4,0.02254224195,0.001544537025,0.0013476102300000001,0.0109049274,NA,1.7226961200000002e-6,0.0025735432050000002,0,0,0,0.00321133221,0.0049671846,1.19067651e-4,0.007086594150000001
MIC,2019-06-04T13:02:00Z,Factor.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MIC,2019-06-09T08:13:00Z,Factor.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MIC,2019-06-13T11:59:00Z,Factor.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MIC,2019-06-15T12:32:00Z,Factor.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MIC,2019-06-17T11:45:00Z,Factor.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MIC,2019-06-27T11:40:00Z,Factor.1,0.090585544,0.026625533200000003,0.0487574528,0.0013769943600000002,0.0382791836,0.0026227922,0.00228838904,0.0185177552,NA,2.92532576e-6,0.00437015684,0,0,0,0.00545319208,0.0084348208,2.02189848e-4,0.012033809200000002
MIC,2019-06-28T14:00:00Z,Factor.1,0.0530990302,0.015607236310000001,0.028580426239999998,8.071604130000001e-4,0.02243832113,0.001537416635,0.001341397682,0.01085465516,NA,1.714754408e-6,0.002561679047,0,0,0,0.003196527814,0.00494428564,1.185187434e-4,0.007053924610000001
MIC,2019-06-29T11:52:00Z,Factor.1,0.075860021,0.02229730505,0.040831475199999995,0.001153151115,0.03205654615,0.0021964329249999997,0.0019163901099999998,0.015507521799999998,NA,2.44978684e-6,0.0036597471849999998,0,0,0,0.004566724969999999,0.007063662199999999,1.69322007e-4,0.01007760155
MIC,2019-07-04T08:08:00Z,Factor.1,0.135687308,0.03988215740000001,0.0730333696,0.00206258802,0.0573380602,0.0039286579,0.00342775828,0.0277375864,NA,4.38182032e-6,0.006546020380000001,0,0,0,0.00816828956,0.0126344456,3.02858436e-4,0.018025339400000003
MIC,2019-07-06T10:15:00Z,Factor.1,0.39341679,0.11563579950000001,0.211755648,0.00598034385,0.1662480885,0.01139089575,0.0099385689,0.080423382,NA,1.27048116e-5,0.01897977315,0,0,0,0.0236834403,0.036632778,8.7811893e-4,0.05226333450000001
MIC,2019-07-11T12:02:00Z,Factor.1,0.391100818,0.11495507290000001,0.21050908159999998,0.00594513867,0.1652694167,0.01132383965,0.00988006238,0.0799499444,NA,1.263002072e-5,0.01886804273,0,0,0,0.02354402026,0.036417127599999995,8.72949606e-4,0.05195566990000001
MIC,2019-07-14T10:02:00Z,Factor.1,0.109537119,0.03219591195,0.058958092799999993,0.001665077985,0.04628764485,0.003171511575,0.00276714729,0.022391890199999997,NA,3.53733876e-6,0.005284445715,0,0,0,0.0065940648299999995,0.0101994858,2.44490373e-4,0.01455142545
MIC,2019-07-18T16:47:00Z,Factor.1,0.053075154199999995,0.01560021851,0.028567575039999998,8.06797473e-4,0.022428231729999998,0.0015367253349999998,0.0013407945219999998,0.01084977436,NA,1.7139833679999998e-6,0.002560527187,0,0,0,0.0031950904939999996,0.00494206244,1.1846545139999999e-4,0.007050752810000001
MIC,2019-07-20T16:48:00Z,Factor.1,0.065366519,0.01921298195,0.035183372799999994,9.93638985e-4,0.02762225485,0.0018926065749999999,0.00165130129,0.013362410199999999,NA,2.1109147599999997e-6,0.003153504715,0,0,0,0.00393502283,0.006086565799999999,1.4590017299999998e-4,0.008683595450000001
MIC,2019-07-23T16:38:00Z,Factor.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MIC,2019-07-28T07:13:00Z,Factor.1,0.0805361356,0.02367174118,0.043348382719999995,0.001224232914,0.03403255514,0.00233182403,0.002034518996,0.016463426479999998,NA,2.600795024e-6,0.003885338966,0,0,0,0.004848224092,0.00749907592,1.797592452e-4,0.010698798580000002
MIC,2019-07-30T15:45:00Z,Factor.1,0.145369026,0.0427278753,0.0782445312,0.00220976019,0.0614293119,0.00420898005,0.0036723396599999997,0.029716750799999997,NA,4.69447704e-6,0.00701309961,0,0,0,0.00875112282,0.013535953199999999,3.24468342e-4,0.0193115043
MIC,2019-08-03T09:41:00Z,Factor.1,0.125420628,0.0368645034,0.06750735359999999,0.00190652382,0.0529996182,0.0036313989,0.00316839948,0.025638842399999997,NA,4.05027312e-6,0.00605072058,0,0,0,0.00755024196,0.0116784696,2.79942876e-4,0.016661465400000002
