site,date,Factor.1,Factor.2,Factor.3,Factor.4,Factor.5,Factor.6,Factor.7
MIC,2019-08-06T13:00:00Z,0.67113,2.6796,0.84372,1.5051,4.5288,0.14316,1.8997
MIC,2019-08-13T10:32:00Z,1.1548,2.9357,1.7362,0.38553,0.95826,0.73761,1.3313
MIC,2019-08-15T15:07:00Z,0.40483,-0.2,6.1866,2.5203,2.676,0.55329,1.7406
MIC,2019-08-19T16:13:00Z,-0.2,2.5911,3.8719,0.21024,0.59112,0.75461,1.3329
MIC,2019-08-23T14:15:00Z,0.85071,1.5859,0.48212,0.035111,2.8061,2.2141,1.2247
MIC,2019-08-24T10:09:00Z,0.30498,1.5924,0.31529,-0.033167,0.14154,0.064403,1.5274
MIC,2019-08-26T12:21:00Z,NA,NA,NA,NA,NA,NA,NA
MIC,2019-09-03T12:23:00Z,-0.17369,1.1342,1.0119,0.42499,1.8812,1.7717,1.0924
MIC,2019-09-06T14:46:00Z,NA,NA,NA,NA,NA,NA,NA
MIC,2019-09-08T11:05:00Z,-0.2,0.28628,0.71932,0.75604,7.0347,4.4727,0.88098
MIC,2019-09-11T13:05:00Z,NA,NA,NA,NA,NA,NA,NA
MIC,2019-09-14T07:10:00Z,0.2389,1.4851,1.0174,0.30246,0.90653,-0.032838,1.1883
MIC,2019-09-16T09:57:00Z,NA,NA,NA,NA,NA,NA,NA
MIC,2019-09-23T15:14:00Z,0.042667,0.75226,2.0334,4.5692,1.457,-0.2,1.0803
MIC,2019-09-26T16:27:00Z,1.3156,0.17732,2.0725,1.2793,-0.15083,1.3011,1.7449
MIC,2019-10-01T12:37:00Z,0.89234,6.5149,1.7783,0.1806,2.0049,1.7097,0.90219
MIC,2019-10-04T09:33:00Z,NA,NA,NA,NA,NA,NA,NA
MIC,2019-10-06T12:30:00Z,0.3963,-0.12568,0.95292,0.042218,0.10055,0.80841,0.5831
MIC,2019-10-09T13:12:00Z,1.2171,0.8903,2.2127,0.79431,0.89484,0.8427,0.41508
MIC,2019-10-15T12:22:00Z,0.61096,0.2626,1.4296,1.116,-0.17563,0.37113,0.80854
MIC,2019-10-18T08:05:00Z,NA,NA,NA,NA,NA,NA,NA
MIC,2019-10-20T08:37:00Z,-0.050091,3.8611,2.2032,3.6742,1.3359,0.21058,0.62388
MIC,2019-10-23T12:26:00Z,1.5009,1.5919,2.1861,0.068536,0.49639,1.0393,0.92862
MIC,2019-10-26T10:58:00Z,0.64084,1.3683,0.66182,0.4659,1.0704,2.7845,0.21474
MIC,2019-10-31T12:08:00Z,2.4991,2.5137,1.448,1.4183,-0.098882,0.94224,0.4226
MIC,2019-11-05T12:30:00Z,NA,NA,NA,NA,NA,NA,NA
MIC,2019-11-08T11:07:00Z,0.9759,1.0162,0.16365,0.4167,1.953,0.52769,0.87539
MIC,2019-11-10T10:09:00Z,0.049678,1.0631,0.49867,0.19734,0.53208,0.041843,0.43484
MIC,2019-11-14T11:59:00Z,1.1704,0.55436,0.059936,0.94562,0.70063,0.43032,0.99171
MIC,2019-11-15T12:30:00Z,NA,NA,NA,NA,NA,NA,NA
MIC,2019-11-17T11:39:00Z,1.3532,1.4685,0.39557,-0.0052166,1.7042,0.4773,1.4372
MIC,2019-11-20T07:51:00Z,0.93276,0.94229,1.0212,0.24242,0.972,0.51249,0.62562
MIC,2019-11-24T12:20:00Z,0.26464,1.6986,1.6956,1.5814,0.90828,0.10374,1.2362
MIC,2019-11-28T12:40:00Z,1.6044,1.8449,2.0266,3.1527,-0.15612,-0.03457,0.49081
MIC,2019-12-02T11:15:00Z,1.4688,2.1949,2.0811,2.6599,0.92114,-0.10797,0.21114
MIC,2019-12-05T13:00:00Z,0.59164,1.5707,0.35886,0.99495,4.4133,2.0351,1.2883
MIC,2019-12-07T08:56:00Z,NA,NA,NA,NA,NA,NA,NA
MIC,2019-12-12T13:57:00Z,1.4621,3.4423,0.55039,0.5254,0.51048,1.7093,1.2395
MIC,2019-12-14T15:27:00Z,NA,NA,NA,NA,NA,NA,NA
MIC,2019-12-16T17:01:00Z,0.36361,0.27438,-0.065546,-0.034568,0.035168,0.34133,0.84863
MIC,2019-12-24T15:03:00Z,0.75174,1.6416,0.19081,0.045081,-0.046837,1.2764,0.36699
