Strata,Outcome,Group,Source,Model,Moving Average,Controls(n),Cases(n),Odds Ratio,Lower 95%CI,Upper 95%CI,% increase,% increase Lower 95%CI,% increase Upper 95%CI,AIC,BIC
site_DOW_MONTH_Year,Cardiorespiratory,Male,Aged sea salt,Sensitivity model,3-day moving average,4354,1455,1.5744239143896557,1.472800390220895,1.6760474385584163,57.442391438965565,47.280039022089504,67.60474385584163,1322.4851389026512,1359.4644671598903
site_DOW_MONTH_Year,Cardiorespiratory,Male,Secondary nitrate,Sensitivity model,3-day moving average,4355,1454,1.0227661367589904,0.9804404003405818,1.065091873177399,2.276613675899042,-1.9559599659418225,6.509187317739906,2366.690391373444,2403.6649069800983
site_DOW_MONTH_Year,Cardiorespiratory,Male,Fresh sea salt mixed with aged emissions,Sensitivity model,3-day moving average,4330,1479,1.110146210570781,1.0654549604551922,1.1548374606863696,11.014621057078088,6.545496045519217,15.483746068636961,3021.099011678677,3058.1928619176524
site_DOW_MONTH_Year,Cardiorespiratory,Male,Industrial emissions,Sensitivity model,3-day moving average,4348,1461,1.1555707728704687,1.1044688473729491,1.2066726983679883,15.557077287046873,10.446884737294916,20.66726983679883,2086.615932189512,2123.624067071767
site_DOW_MONTH_Year,Cardiorespiratory,Male,Secondary sulfate,Sensitivity model,3-day moving average,4316,1493,1.5127134311048154,1.4527739566597475,1.5726529055498832,51.27134311048154,45.27739566597475,57.265290554988326,2532.6782072401193,2569.8380068228935
site_DOW_MONTH_Year,Cardiorespiratory,Male,"Combustion of biomass, coal and fossil fuels",Sensitivity model,3-day moving average,4330,1479,1.045011096617411,1.00788598803319,1.0821362052016321,4.5011096617411095,0.7885988033190072,8.21362052016321,2567.9343000985577,2605.028150337533
site_DOW_MONTH_Year,Cardiorespiratory,Female,Mineral dust and soil ressuspension,Sensitivity model,3-day moving average,3592,1223,1.2309411387509144,1.1789637401586386,1.2829185373431902,23.094113875091438,17.89637401586386,28.291853734319016,1929.2716111378093,1965.0350460876195
site_DOW_MONTH_Year,Cardiorespiratory,Female,Aged sea salt,Sensitivity model,3-day moving average,3587,1228,1.6236430275614284,1.5118622336245005,1.7354238214983564,62.36430275614284,51.18622336245004,73.54238214983565,1074.319005876887,1110.1110006378367
site_DOW_MONTH_Year,Cardiorespiratory,Female,Secondary nitrate,Sensitivity model,3-day moving average,3603,1212,1.0154534857286917,0.9683722527685764,1.0625347186888068,1.5453485728691652,-3.1627747231423586,6.253471868880678,2019.2284508212629,2054.9286409876677
site_DOW_MONTH_Year,Cardiorespiratory,Female,Fresh sea salt mixed with aged emissions,Sensitivity model,3-day moving average,3589,1226,1.1082422820209177,1.0555131012196342,1.1609714628222012,10.824228202091767,5.551310121963415,16.09714628222012,2511.7563755010397,2547.5369603165127
site_DOW_MONTH_Year,Cardiorespiratory,Female,Industrial emissions,Sensitivity model,3-day moving average,3602,1213,1.160414326187595,1.1037796111791565,1.2170490411960335,16.0414326187595,10.377961117915646,21.704904119603352,1728.6156082990422,1764.3215716616505
site_DOW_MONTH_Year,Cardiorespiratory,Female,Secondary sulfate,Sensitivity model,3-day moving average,3591,1224,1.3520576870590526,1.2947174735202664,1.4093979005978388,35.20576870590526,29.471747352026647,40.939790059783874,2111.22986852117,2146.9990247626756
site_DOW_MONTH_Year,Cardiorespiratory,Female,"Combustion of biomass, coal and fossil fuels",Sensitivity model,3-day moving average,3563,1252,1.0430316138313547,0.9996497387789215,1.086413488883788,4.303161383135468,-0.03502612210785072,8.641348888378797,2119.840694400835,2155.7681772624555
site_DOW_MONTH_Year,Respiratory,All,Mineral dust and soil ressuspension,Primary model,3-day moving average,3166,1062,1.3428190446686683,1.2838107185732854,1.4018273707640512,34.281904466866834,28.381071857328543,40.18273707640512,1577.6125728507473,1612.3879372633605
site_DOW_MONTH_Year,Respiratory,All,Aged sea salt,Primary model,3-day moving average,3158,1070,1.4692406018779032,1.3600204040206958,1.5784607997351106,46.92406018779032,36.00204040206958,57.84607997351105,967.0145556748101,1001.8424531670018
site_DOW_MONTH_Year,Respiratory,All,Secondary nitrate,Primary model,3-day moving average,3157,1071,1.02056291692926,0.9722494246350109,1.0688764092235092,2.0562916929260044,-2.775057536498915,6.887640922350924,1674.0296524535709,1708.8640889467051
